h3,storms,max_wind,basin
834906fffffffff,108,155,EP
83490cfffffffff,92,155,EP
834933fffffffff,91,155,EP
834900fffffffff,91,155,EP
834914fffffffff,90,153,EP
83490dfffffffff,88,140,EP
834901fffffffff,87,160,EP
834904fffffffff,86,128,EP
83492bfffffffff,86,140,EP
834911fffffffff,86,135,EP
834903fffffffff,86,143,EP
836db6fffffffff,84,143,EP
83492afffffffff,84,135,EP
834916fffffffff,83,150,EP
834905fffffffff,82,123,EP
834976fffffffff,81,138,EP
83491cfffffffff,80,140,EP
83490efffffffff,80,115,EP
834932fffffffff,79,150,EP
834a91fffffffff,79,165,WP
834915fffffffff,79,130,EP
83491dfffffffff,78,145,EP
834902fffffffff,78,128,EP
834ab0fffffffff,77,155,WP
836db4fffffffff,76,135,EP
834910fffffffff,75,183,EP
83490afffffffff,75,135,EP
834ad6fffffffff,75,153,WP
834a98fffffffff,73,155,WP
834928fffffffff,73,140,EP
836da2fffffffff,72,108,EP
834a9bfffffffff,72,155,WP
834972fffffffff,72,125,EP
834965fffffffff,72,135,EP
83732cfffffffff,71,155,WP
834a88fffffffff,71,153,WP
83686dfffffffff,70,140,WP
834970fffffffff,70,130,EP
834971fffffffff,70,115,EP
834a9cfffffffff,70,160,WP
834929fffffffff,70,135,EP
834aabfffffffff,70,155,WP
837332fffffffff,69,170,WP
836ed8fffffffff,69,120,EP
834975fffffffff,69,125,EP
834af2fffffffff,69,155,WP
834af6fffffffff,69,145,WP
834a9efffffffff,68,163,WP
834962fffffffff,68,118,EP
834a95fffffffff,68,153,WP
837326fffffffff,68,140,WP
834931fffffffff,68,130,EP
836ed2fffffffff,67,130,EP
836ed9fffffffff,67,125,EP
834a89fffffffff,67,145,WP
836db5fffffffff,67,125,EP
834923fffffffff,67,140,EP
837321fffffffff,67,155,WP
834908fffffffff,67,150,EP
837304fffffffff,66,123,WP
836edefffffffff,66,120,EP
836db1fffffffff,66,120,EP
834ab3fffffffff,66,155,WP
83492efffffffff,66,135,EP
836db0fffffffff,65,135,EP
834aa2fffffffff,65,153,WP
834964fffffffff,65,130,EP
834a90fffffffff,64,155,WP
83686cfffffffff,64,140,WP
834126fffffffff,64,113,WP
837325fffffffff,64,153,WP
834a8afffffffff,64,155,WP
8349a5fffffffff,64,125,EP
834122fffffffff,64,140,WP
836da6fffffffff,64,120,EP
837336fffffffff,63,115,WP
837301fffffffff,63,130,WP
837331fffffffff,63,148,WP
837335fffffffff,63,155,WP
834ab2fffffffff,63,155,WP
834b92fffffffff,63,135,WP
834123fffffffff,63,125,WP
836ed3fffffffff,63,130,EP
8351a3fffffffff,63,130,EP
837374fffffffff,63,148,WP
83732dfffffffff,63,155,WP
834a82fffffffff,63,153,WP
83412efffffffff,63,135,WP
836962fffffffff,63,108,WP
837329fffffffff,63,150,WP
834ab4fffffffff,63,153,WP
8349a4fffffffff,63,125,EP
836edcfffffffff,63,135,EP
834a94fffffffff,62,145,WP
837306fffffffff,62,153,WP
836869fffffffff,62,140,WP
834121fffffffff,62,110,WP
8351b1fffffffff,62,135,EP
836966fffffffff,62,115,WP
834a85fffffffff,62,140,WP
834ad2fffffffff,62,145,WP
834a99fffffffff,62,155,WP
83492cfffffffff,62,140,EP
834974fffffffff,62,130,EP
834954fffffffff,62,145,EP
834ab6fffffffff,61,155,WP
834b9afffffffff,61,150,WP
834b99fffffffff,61,165,WP
834104fffffffff,61,125,WP
836963fffffffff,61,95,WP
834a8dfffffffff,61,145,WP
