yr,date,st,mag,inj,fat,lat,lon,len,wid
1950,1950-10-09,NC,3,3,0,34.17,-78.6,2.0,880
1950,1950-11-20,KY,2,0,0,37.37,-87.2,0.1,10
1950,1950-11-04,PA,3,1,0,40.2,-76.12,15.9,100
1950,1950-12-02,IL,2,3,1,38.97,-90.05,18.8,50
1950,1950-12-02,IL,3,25,2,38.75,-89.67,18.0,200
1950,1950-12-02,AR,3,0,0,36.12,-91.83,7.8,10
1950,1950-01-13,AR,3,1,1,34.4,-94.37,0.6,17
1950,1950-01-25,MO,2,5,0,37.6,-90.68,2.3,300
1950,1950-01-25,IL,2,0,0,41.17,-87.33,0.1,100
1950,1950-01-26,TX,2,2,0,26.88,-98.12,4.7,133
1950,1950-01-03,MO,3,3,0,38.77,-90.22,9.5,150
1950,1950-01-03,IL,3,3,0,39.1,-89.3,3.6,130
1950,1950-02-11,TX,2,0,0,29.42,-95.25,9.9,400
1950,1950-02-11,TX,3,12,1,29.67,-95.05,12.0,1000
1950,1950-02-11,TX,2,5,0,32.35,-95.2,4.6,100
1950,1950-02-11,TX,2,6,0,32.98,-94.63,4.5,67
1950,1950-02-12,TX,2,8,1,33.33,-94.42,8.0,833
1950,1950-02-12,TX,2,0,0,31.52,-96.55,3.4,100
1950,1950-02-12,MS,2,2,3,34.6,-89.12,0.1,10
1950,1950-02-12,TX,3,15,3,31.8,-94.2,1.9,50
1950,1950-02-12,AR,2,0,0,34.48,-92.4,0.1,100
1950,1950-02-12,LA,4,77,18,31.97,-94.0,82.6,100
1950,1950-02-12,LA,2,10,5,32.2,-93.58,58.4,100
1950,1950-02-12,LA,3,25,5,31.63,-93.65,74.5,100
1950,1950-02-12,AR,2,0,0,33.27,-92.95,5.7,100
1950,1950-02-13,TN,2,1,9,35.75,-89.48,0.2,10
1950,1950-02-27,OK,2,0,0,35.55,-97.6,2.0,50
1950,1950-03-16,FL,2,0,0,29.65,-81.22,1.5,150
1950,1950-03-19,LA,2,0,0,30.1,-91.0,1.0,50
1950,1950-03-26,AR,2,3,0,34.12,-93.07,17.4,150
1950,1950-03-26,AR,3,1,0,36.15,-91.83,5.7,200
1950,1950-03-26,AR,2,7,0,34.7,-92.35,10.4,600
1950,1950-03-26,AR,3,20,0,34.98,-91.73,14.9,1760
1950,1950-03-26,AR,2,2,0,35.1,-91.4,5.4,833
1950,1950-03-27,OK,2,0,0,34.85,-95.75,0.1,77
1950,1950-03-27,MS,2,2,1,33.17,-90.55,0.1,10
1950,1950-03-27,MS,2,0,0,33.13,-89.57,11.9,10
1950,1950-03-27,MS,2,7,0,32.28,-90.27,59.3,50
1950,1950-03-27,MS,2,6,0,32.28,-90.27,31.9,50
1950,1950-03-27,MS,2,0,0,33.67,-88.78,4.7,10
1950,1950-03-27,IL,2,0,0,40.57,-88.6,3.0,50
1950,1950-04-18,AL,3,15,0,30.67,-88.2,14.0,100
1950,1950-04-18,AL,2,0,0,30.7,-87.92,2.0,150
1950,1950-04-28,OK,3,1,1,34.88,-99.28,20.8,400
1950,1950-04-28,TX,4,5,5,32.42,-99.5,1.3,233
1950,1950-04-28,OK,4,32,5,35.08,-96.4,4.5,200
1950,1950-04-28,OK,2,0,0,34.55,-96.2,0.8,100
1950,1950-04-29,MS,2,0,0,31.27,-89.83,11.3,100
